name,email,phone,preferred_date,preferred_time,service,device_type,device_os,device_browser,ip_city,ip_country,created_at
Emma Flores,emma.flores18@yahoo.com,+54638076911,2026-06-16,14:00,Vitamin C IV,Mobile,Windows,Safari,Barcelona,ES,2026-06-16 15:00
Sofia Torres,sofia.torres58@hotmail.com,+52292355674,2026-05-24,14:00,Visita Domiciliaria,Desktop,Android,Edge,Guadalajara,MX,2026-05-24 10:00
Mateo Gonzalez,mateo.gonzalez30@yahoo.com,+34817888322,2026-07-14,09:00,Facial Harmonization,Mobile,Windows,Edge,Ciudad de Mexico,MX,2026-07-14 11:00
Martina Perez,martina.perez91@gmail.com,+1780287364,2026-03-30,16:00,B-Complex IV,Desktop,Windows,Chrome,Madrid,ES,2026-03-30 11:00
Diego Torres,diego.torres46@outlook.com,+57622763616,2026-02-05,16:00,Facial Harmonization,Mobile,Linux,Safari,Valencia,ES,2026-02-05 14:00
Isabella Diaz,isabella.diaz28@yahoo.com,+52300688440,2026-06-19,09:00,IV Rehydration,Mobile,iOS,Chrome,Barcelona,ES,2026-06-19 11:00
Sebastian Ramirez,sebastian.ramirez76@hotmail.com,+52794989306,2026-05-01,16:00,Symptomatic IV,Desktop,Android,Safari,Ciudad de Mexico,MX,2026-05-01 09:00
Tomas Martinez,tomas.martinez22@gmail.com,+57293313837,2026-02-27,14:00,Visita Domiciliaria,Desktop,Linux,Safari,Madrid,ES,2026-02-27 15:00
Diego Ramirez,diego.ramirez62@outlook.com,+52335540097,2026-02-05,16:00,Symptomatic IV,Desktop,Android,Chrome,Miami,US,2026-02-05 14:00
Martina Perez,martina.perez77@outlook.com,+1173919503,2026-02-06,09:00,IV Rehydration,Mobile,Android,Safari,Madrid,ES,2026-02-06 08:00
Martina Sanchez,martina.sanchez78@hotmail.com,+34290505619,2026-06-03,11:00,Consulta Virtual,Mobile,Linux,Safari,Buenos Aires,AR,2026-06-03 16:00
Sebastian Diaz,sebastian.diaz78@hotmail.com,+1988544746,2026-03-10,08:00,Atención Pediátrica,Mobile,macOS,Edge,Madrid,ES,2026-03-10 10:00
Emma Ramirez,emma.ramirez45@outlook.com,+1963955258,2026-07-13,15:00,Consulta Virtual,Desktop,Linux,Safari,Valencia,ES,2026-07-13 11:00
Tomas Torres,tomas.torres33@outlook.com,+52105872776,2026-06-19,15:00,Consulta General,Desktop,iOS,Safari,Madrid,ES,2026-06-19 14:00
Emma Perez,emma.perez47@outlook.com,+34266192234,2026-07-23,11:00,General Consultation,Mobile,Windows,Firefox,Barcelona,ES,2026-07-23 16:00
Camila Diaz,camila.diaz97@outlook.com,+52543700355,2026-03-09,14:00,Medicina Preventiva,Mobile,macOS,Chrome,Valencia,ES,2026-03-09 10:00
Camila Flores,camila.flores91@yahoo.com,+54890040374,2026-03-03,09:00,Enfermedades Crónicas,Mobile,iOS,Chrome,Barcelona,ES,2026-03-03 11:00
Isabella Sanchez,isabella.sanchez71@yahoo.com,+1848459689,2026-01-26,15:00,Consulta General,Tablet,Android,Edge,Madrid,ES,2026-01-26 15:00
Sebastian Flores,sebastian.flores12@outlook.com,+34382492880,2026-07-23,09:00,IV Rehydration,Desktop,Linux,Safari,Medellin,CO,2026-07-23 15:00
Martina Torres,martina.torres92@yahoo.com,+1161700457,2026-04-17,16:00,Enfermedades Crónicas,Desktop,macOS,Edge,Valencia,ES,2026-04-17 08:00
Isabella Gonzalez,isabella.gonzalez5@hotmail.com,+1648196577,2026-06-03,14:00,Consulta General,Desktop,Linux,Chrome,Buenos Aires,AR,2026-06-03 15:00
Sofia Rodriguez,sofia.rodriguez52@yahoo.com,+57819044151,2026-07-15,11:00,Symptomatic IV,Mobile,Android,Safari,Bogota,CO,2026-07-15 15:00
Isabella Flores,isabella.flores45@yahoo.com,+57342982954,2026-01-24,14:00,Visita Domiciliaria,Mobile,macOS,Edge,Bogota,CO,2026-01-24 14:00
Mateo Torres,mateo.torres65@gmail.com,+57465035599,2026-07-23,08:00,Medicina Preventiva,Mobile,Windows,Firefox,Valencia,ES,2026-07-23 15:00
Emma Lopez,emma.lopez59@yahoo.com,+54730100172,2026-04-02,16:00,Vitamin C IV,Tablet,iOS,Firefox,Ciudad de Mexico,MX,2026-04-02 08:00
Diego Perez,diego.perez46@outlook.com,+1675151857,2026-04-18,08:00,Consulta General,Tablet,Windows,Chrome,Bogota,CO,2026-04-18 10:00
Andres Rodriguez,andres.rodriguez61@hotmail.com,+57479608458,2026-07-01,09:00,Atención Pediátrica,Mobile,Windows,Chrome,Bogota,CO,2026-07-01 15:00
Diego Moreno,diego.moreno34@hotmail.com,+52346109712,2026-01-31,09:00,Enfermedades Crónicas,Mobile,Linux,Firefox,Bogota,CO,2026-01-31 09:00
Tomas Garcia,tomas.garcia62@gmail.com,+57766436631,2026-06-25,10:00,Facial Harmonization,Desktop,Linux,Firefox,Bogota,CO,2026-06-25 11:00
Camila Sanchez,camila.sanchez97@hotmail.com,+1237703046,2026-06-08,08:00,Facial Harmonization,Tablet,macOS,Edge,Buenos Aires,AR,2026-06-08 14:00
Martina Martinez,martina.martinez16@outlook.com,+1593997037,2026-07-16,10:00,Consulta General,Mobile,iOS,Chrome,Valencia,ES,2026-07-16 11:00
Hugo Gonzalez,hugo.gonzalez71@hotmail.com,+57354626229,2026-02-26,10:00,Symptomatic IV,Mobile,Linux,Firefox,Valencia,ES,2026-02-26 10:00
Andres Sanchez,andres.sanchez58@yahoo.com,+52713546516,2026-06-05,09:00,Visita Domiciliaria,Mobile,Android,Safari,Bogota,CO,2026-06-05 15:00
Diego Martinez,diego.martinez61@hotmail.com,+34289630619,2026-05-16,11:00,Facial Harmonization,Mobile,Linux,Firefox,Buenos Aires,AR,2026-05-16 16:00
Lucia Lopez,lucia.lopez61@yahoo.com,+34583027931,2026-03-21,15:00,IV Rehydration,Mobile,Windows,Firefox,Bogota,CO,2026-03-21 14:00
Lucia Sanchez,lucia.sanchez45@gmail.com,+1313629646,2026-03-04,14:00,Facial Harmonization,Desktop,Linux,Chrome,Barcelona,ES,2026-03-04 16:00
Sebastian Moreno,sebastian.moreno11@outlook.com,+54758916457,2026-05-13,10:00,Symptomatic IV,Mobile,Android,Chrome,Bogota,CO,2026-05-13 15:00
Valeria Rodriguez,valeria.rodriguez21@gmail.com,+57345047145,2026-04-29,10:00,IV Rehydration,Mobile,Windows,Firefox,Guadalajara,MX,2026-04-29 14:00
Emma Perez,emma.perez53@outlook.com,+52297446299,2026-02-09,16:00,Vitamin C IV,Mobile,Android,Firefox,Buenos Aires,AR,2026-02-09 15:00
Valeria Rodriguez,valeria.rodriguez9@gmail.com,+54688876249,2026-01-26,08:00,Vitamin C IV,Desktop,macOS,Safari,Barcelona,ES,2026-01-26 08:00
Valeria Gonzalez,valeria.gonzalez32@hotmail.com,+57575839885,2026-05-18,15:00,Vitamin C IV,Mobile,Linux,Chrome,Madrid,ES,2026-05-18 08:00
Andres Ramirez,andres.ramirez70@outlook.com,+57688996003,2026-07-16,11:00,Vitamin C IV,Desktop,Linux,Chrome,Buenos Aires,AR,2026-07-16 14:00
Camila Perez,camila.perez70@outlook.com,+52964048388,2026-02-20,08:00,Symptomatic IV,Mobile,Windows,Edge,Guadalajara,MX,2026-02-20 10:00
Hugo Martinez,hugo.martinez37@yahoo.com,+54674558056,2026-06-15,08:00,Consulta General,Mobile,macOS,Edge,Madrid,ES,2026-06-15 10:00
Tomas Lopez,tomas.lopez71@gmail.com,+57302476546,2026-07-22,11:00,Atención Pediátrica,Desktop,macOS,Edge,Medellin,CO,2026-07-22 09:00
Diego Gonzalez,diego.gonzalez55@gmail.com,+52654705830,2026-06-13,16:00,Medicina Preventiva,Desktop,Linux,Firefox,Medellin,CO,2026-06-13 10:00
Hugo Rodriguez,hugo.rodriguez18@hotmail.com,+57218494225,2026-02-08,15:00,Symptomatic IV,Desktop,macOS,Firefox,Valencia,ES,2026-02-08 15:00
Isabella Garcia,isabella.garcia14@hotmail.com,+57389046078,2026-02-12,09:00,Consulta General,Mobile,iOS,Chrome,Madrid,ES,2026-02-12 08:00
Valeria Gonzalez,valeria.gonzalez48@outlook.com,+54848328041,2026-06-16,16:00,Vitamin C IV,Mobile,iOS,Chrome,Barcelona,ES,2026-06-16 08:00
Diego Gonzalez,diego.gonzalez2@outlook.com,+34924790131,2026-05-17,15:00,B-Complex IV,Mobile,macOS,Chrome,Ciudad de Mexico,MX,2026-05-17 15:00
Mateo Torres,mateo.torres61@hotmail.com,+54831693114,2026-07-16,10:00,Consulta Virtual,Mobile,Android,Safari,Bogota,CO,2026-07-16 15:00
Martina Gonzalez,martina.gonzalez47@hotmail.com,+34815858075,2026-03-06,09:00,Visita Domiciliaria,Mobile,Android,Edge,Barcelona,ES,2026-03-06 10:00
Mateo Sanchez,mateo.sanchez2@hotmail.com,+34723926702,2026-07-21,16:00,Consulta General,Mobile,Linux,Chrome,Barcelona,ES,2026-07-21 10:00
Martina Flores,martina.flores98@yahoo.com,+34164183056,2026-07-02,10:00,General Consultation,Mobile,Linux,Safari,Ciudad de Mexico,MX,2026-07-02 09:00
Diego Garcia,diego.garcia46@outlook.com,+52369183038,2026-03-20,08:00,Facial Harmonization,Desktop,macOS,Firefox,Valencia,ES,2026-03-20 14:00
Isabella Perez,isabella.perez94@yahoo.com,+54395627385,2026-01-27,16:00,Enfermedades Crónicas,Mobile,Linux,Chrome,Ciudad de Mexico,MX,2026-01-27 08:00
Camila Torres,camila.torres59@yahoo.com,+34933135507,2026-03-11,15:00,Facial Harmonization,Mobile,Android,Safari,Barcelona,ES,2026-03-11 14:00
Joaquin Rodriguez,joaquin.rodriguez25@outlook.com,+1833606377,2026-04-22,11:00,Medicina Preventiva,Desktop,Android,Firefox,Barcelona,ES,2026-04-22 10:00
Mateo Garcia,mateo.garcia23@hotmail.com,+34316980704,2026-04-11,08:00,Facial Harmonization,Mobile,iOS,Safari,Ciudad de Mexico,MX,2026-04-11 14:00
Isabella Flores,isabella.flores7@yahoo.com,+57336999287,2026-02-10,14:00,Consulta General,Desktop,iOS,Chrome,Bogota,CO,2026-02-10 15:00
Martina Garcia,martina.garcia72@yahoo.com,+54982644252,2026-03-21,10:00,Medicina Preventiva,Desktop,iOS,Firefox,Ciudad de Mexico,MX,2026-03-21 14:00
Mateo Lopez,mateo.lopez13@gmail.com,+52670866707,2026-07-14,11:00,B-Complex IV,Desktop,Linux,Chrome,Medellin,CO,2026-07-14 14:00
Joaquin Rodriguez,joaquin.rodriguez87@yahoo.com,+54854357762,2026-02-14,15:00,Symptomatic IV,Mobile,iOS,Chrome,Ciudad de Mexico,MX,2026-02-14 16:00
Martina Martinez,martina.martinez46@outlook.com,+57690645339,2026-06-08,10:00,Enfermedades Crónicas,Mobile,macOS,Edge,Ciudad de Mexico,MX,2026-06-08 16:00
Emma Torres,emma.torres47@yahoo.com,+54580499237,2026-05-03,11:00,Vitamin C IV,Mobile,iOS,Firefox,Barcelona,ES,2026-05-03 14:00
Camila Garcia,camila.garcia29@yahoo.com,+52438126323,2026-07-20,08:00,Medicina Preventiva,Mobile,Windows,Chrome,Miami,US,2026-07-20 08:00
Camila Perez,camila.perez30@hotmail.com,+57970884334,2026-07-15,10:00,Vitamin C IV,Mobile,macOS,Chrome,Madrid,ES,2026-07-15 15:00
Hugo Moreno,hugo.moreno77@gmail.com,+57140127441,2026-07-05,15:00,Medicina Preventiva,Desktop,macOS,Safari,Madrid,ES,2026-07-05 16:00
Hugo Sanchez,hugo.sanchez16@outlook.com,+52902813840,2026-07-10,15:00,Enfermedades Crónicas,Desktop,iOS,Edge,Valencia,ES,2026-07-10 08:00
Tomas Martinez,tomas.martinez65@yahoo.com,+52264494545,2026-05-07,08:00,Consulta General,Mobile,macOS,Edge,Barcelona,ES,2026-05-07 16:00
Valeria Martinez,valeria.martinez44@hotmail.com,+34610945043,2026-02-21,14:00,Consulta General,Mobile,Linux,Edge,Barcelona,ES,2026-02-21 10:00
Joaquin Martinez,joaquin.martinez62@hotmail.com,+1312717408,2026-07-03,11:00,IV Rehydration,Mobile,Linux,Chrome,Valencia,ES,2026-07-03 14:00
Diego Rodriguez,diego.rodriguez56@yahoo.com,+57835231799,2026-02-17,14:00,Vitamin C IV,Tablet,macOS,Edge,Ciudad de Mexico,MX,2026-02-17 10:00
Camila Martinez,camila.martinez79@yahoo.com,+54769136744,2026-04-23,09:00,Symptomatic IV,Mobile,Android,Chrome,Madrid,ES,2026-04-23 15:00
Mateo Rodriguez,mateo.rodriguez32@gmail.com,+1258567048,2026-04-20,16:00,Enfermedades Crónicas,Mobile,Windows,Safari,Bogota,CO,2026-04-20 10:00
Sebastian Garcia,sebastian.garcia27@yahoo.com,+1327499388,2026-01-28,09:00,Facial Harmonization,Desktop,Windows,Edge,Barcelona,ES,2026-01-28 14:00
Valeria Flores,valeria.flores33@gmail.com,+52164542674,2026-06-18,10:00,B-Complex IV,Desktop,Linux,Firefox,Bogota,CO,2026-06-18 08:00
Valeria Diaz,valeria.diaz85@yahoo.com,+57215847550,2026-03-27,08:00,IV Rehydration,Desktop,macOS,Chrome,Madrid,ES,2026-03-27 11:00
Andres Ramirez,andres.ramirez24@gmail.com,+52637569722,2026-03-16,11:00,Facial Harmonization,Tablet,iOS,Safari,Madrid,ES,2026-03-16 09:00
Joaquin Martinez,joaquin.martinez45@gmail.com,+57481584364,2026-03-11,15:00,IV Rehydration,Mobile,Linux,Firefox,Ciudad de Mexico,MX,2026-03-11 16:00
Hugo Garcia,hugo.garcia29@yahoo.com,+52466990085,2026-07-09,11:00,Consulta General,Desktop,iOS,Edge,Buenos Aires,AR,2026-07-09 14:00
Diego Flores,diego.flores55@hotmail.com,+57750009892,2026-02-01,10:00,Symptomatic IV,Desktop,Android,Chrome,Barcelona,ES,2026-02-01 15:00
Diego Martinez,diego.martinez89@yahoo.com,+1245226262,2026-06-19,11:00,Visita Domiciliaria,Mobile,Android,Chrome,Bogota,CO,2026-06-19 10:00
Mateo Martinez,mateo.martinez19@yahoo.com,+34921879587,2026-07-07,10:00,Atención Pediátrica,Mobile,macOS,Edge,Miami,US,2026-07-07 10:00
Martina Moreno,martina.moreno20@yahoo.com,+52214644955,2026-04-02,09:00,B-Complex IV,Desktop,Linux,Firefox,Medellin,CO,2026-04-02 14:00
Lucia Perez,lucia.perez89@gmail.com,+54243974416,2026-03-01,14:00,Enfermedades Crónicas,Mobile,macOS,Firefox,Barcelona,ES,2026-03-01 09:00
Diego Lopez,diego.lopez53@gmail.com,+34389758574,2026-04-16,11:00,B-Complex IV,Mobile,Android,Chrome,Madrid,ES,2026-04-16 08:00
Hugo Flores,hugo.flores89@outlook.com,+57591285126,2026-06-09,09:00,Symptomatic IV,Desktop,iOS,Edge,Miami,US,2026-06-09 15:00
Tomas Flores,tomas.flores67@gmail.com,+34584912105,2026-05-05,11:00,Enfermedades Crónicas,Mobile,iOS,Chrome,Miami,US,2026-05-05 14:00
Isabella Sanchez,isabella.sanchez25@gmail.com,+57571967377,2026-03-09,11:00,Atención Pediátrica,Mobile,Windows,Edge,Bogota,CO,2026-03-09 09:00
Joaquin Torres,joaquin.torres60@hotmail.com,+54197110078,2026-04-07,15:00,Facial Harmonization,Mobile,Android,Chrome,Buenos Aires,AR,2026-04-07 11:00
Sebastian Flores,sebastian.flores59@hotmail.com,+34368523822,2026-04-10,10:00,Consulta General,Mobile,Android,Safari,Madrid,ES,2026-04-10 08:00
Mateo Torres,mateo.torres94@outlook.com,+1757207875,2026-06-25,09:00,IV Rehydration,Desktop,macOS,Safari,Guadalajara,MX,2026-06-25 16:00
Martina Martinez,martina.martinez19@hotmail.com,+52925875822,2026-06-11,15:00,Vitamin C IV,Desktop,Windows,Firefox,Ciudad de Mexico,MX,2026-06-11 15:00
Sofia Lopez,sofia.lopez80@gmail.com,+57113107987,2026-04-01,11:00,Facial Harmonization,Mobile,macOS,Safari,Madrid,ES,2026-04-01 14:00
Sebastian Ramirez,sebastian.ramirez57@outlook.com,+34745551372,2026-03-20,14:00,Vitamin C IV,Mobile,Linux,Firefox,Guadalajara,MX,2026-03-20 14:00
Martina Perez,martina.perez19@gmail.com,+34816182084,2026-02-13,14:00,Enfermedades Crónicas,Mobile,Windows,Firefox,Madrid,ES,2026-02-13 08:00
Martina Moreno,martina.moreno59@hotmail.com,+1486749612,2026-07-11,08:00,Vitamin C IV,Mobile,Windows,Firefox,Barcelona,ES,2026-07-11 10:00
Mateo Gonzalez,mateo.gonzalez18@outlook.com,+34845841941,2026-04-18,16:00,B-Complex IV,Desktop,Linux,Edge,Medellin,CO,2026-04-18 14:00
Mateo Flores,mateo.flores62@gmail.com,+1946307028,2026-06-01,15:00,B-Complex IV,Desktop,Linux,Firefox,Guadalajara,MX,2026-06-01 10:00
Sofia Flores,sofia.flores67@outlook.com,+54628822629,2026-03-12,16:00,B-Complex IV,Mobile,Linux,Chrome,Guadalajara,MX,2026-03-12 15:00
Lucia Ramirez,lucia.ramirez95@gmail.com,+52958525681,2026-05-11,14:00,Visita Domiciliaria,Tablet,macOS,Safari,Madrid,ES,2026-05-11 10:00
Camila Gonzalez,camila.gonzalez40@gmail.com,+57644053844,2026-04-24,14:00,IV Rehydration,Mobile,iOS,Safari,Barcelona,ES,2026-04-24 15:00
Tomas Garcia,tomas.garcia25@hotmail.com,+57995313101,2026-04-30,10:00,Consulta Virtual,Mobile,macOS,Edge,Bogota,CO,2026-04-30 16:00
Martina Ramirez,martina.ramirez60@yahoo.com,+54897344195,2026-07-15,08:00,Enfermedades Crónicas,Desktop,Windows,Firefox,Ciudad de Mexico,MX,2026-07-15 14:00
Andres Perez,andres.perez20@gmail.com,+57133471933,2026-03-09,10:00,Visita Domiciliaria,Mobile,Linux,Chrome,Guadalajara,MX,2026-03-09 14:00
Hugo Gonzalez,hugo.gonzalez91@yahoo.com,+34391518128,2026-02-19,11:00,Vitamin C IV,Mobile,Android,Firefox,Guadalajara,MX,2026-02-19 11:00
Mateo Perez,mateo.perez26@gmail.com,+34576498805,2026-05-08,14:00,Vitamin C IV,Mobile,macOS,Chrome,Barcelona,ES,2026-05-08 09:00
Isabella Gonzalez,isabella.gonzalez19@yahoo.com,+34982764505,2026-04-28,14:00,Consulta General,Desktop,Android,Chrome,Bogota,CO,2026-04-28 15:00
Isabella Rodriguez,isabella.rodriguez40@gmail.com,+34837716816,2026-07-15,16:00,General Consultation,Mobile,iOS,Firefox,Bogota,CO,2026-07-15 11:00
Joaquin Gonzalez,joaquin.gonzalez74@gmail.com,+57785960873,2026-07-13,09:00,IV Rehydration,Mobile,Android,Firefox,Bogota,CO,2026-07-13 10:00
Mateo Gonzalez,mateo.gonzalez21@hotmail.com,+57222900917,2026-03-10,08:00,Visita Domiciliaria,Mobile,Linux,Safari,Ciudad de Mexico,MX,2026-03-10 09:00
Emma Gonzalez,emma.gonzalez22@hotmail.com,+34434339109,2026-03-06,14:00,Atención Pediátrica,Mobile,Linux,Edge,Miami,US,2026-03-06 08:00
Valeria Sanchez,valeria.sanchez91@hotmail.com,+1736467148,2026-06-19,15:00,Enfermedades Crónicas,Mobile,macOS,Firefox,Madrid,ES,2026-06-19 10:00
Martina Torres,martina.torres97@gmail.com,+54709659120,2026-04-30,09:00,Vitamin C IV,Desktop,macOS,Safari,Bogota,CO,2026-04-30 11:00
Sebastian Ramirez,sebastian.ramirez29@hotmail.com,+52762436526,2026-05-06,10:00,Consulta Virtual,Desktop,macOS,Chrome,Bogota,CO,2026-05-06 15:00
Andres Ramirez,andres.ramirez4@outlook.com,+34610386386,2026-02-04,08:00,IV Rehydration,Mobile,macOS,Chrome,Buenos Aires,AR,2026-02-04 10:00
Hugo Moreno,hugo.moreno42@gmail.com,+1797343144,2026-04-26,08:00,Medicina Preventiva,Mobile,Linux,Edge,Madrid,ES,2026-04-26 11:00
Isabella Martinez,isabella.martinez50@outlook.com,+34465839040,2026-02-23,09:00,Enfermedades Crónicas,Mobile,Linux,Edge,Guadalajara,MX,2026-02-23 16:00
Martina Diaz,martina.diaz95@gmail.com,+1998451531,2026-04-01,11:00,Vitamin C IV,Mobile,Linux,Edge,Barcelona,ES,2026-04-01 10:00
Camila Sanchez,camila.sanchez77@gmail.com,+34836059336,2026-03-04,16:00,General Consultation,Mobile,macOS,Firefox,Ciudad de Mexico,MX,2026-03-04 11:00
Hugo Martinez,hugo.martinez97@gmail.com,+52809615999,2026-02-09,09:00,Symptomatic IV,Desktop,Windows,Edge,Madrid,ES,2026-02-09 14:00
Andres Gonzalez,andres.gonzalez56@yahoo.com,+57195871622,2026-02-27,14:00,Vitamin C IV,Mobile,Linux,Edge,Barcelona,ES,2026-02-27 16:00
Isabella Garcia,isabella.garcia91@gmail.com,+1981277125,2026-06-22,10:00,Vitamin C IV,Desktop,Windows,Safari,Madrid,ES,2026-06-22 09:00
Valeria Sanchez,valeria.sanchez56@outlook.com,+1326791535,2026-04-05,15:00,B-Complex IV,Mobile,Android,Chrome,Barcelona,ES,2026-04-05 14:00
Valeria Martinez,valeria.martinez86@yahoo.com,+52244179313,2026-04-17,08:00,Vitamin C IV,Desktop,iOS,Chrome,Valencia,ES,2026-04-17 15:00
Sofia Diaz,sofia.diaz59@outlook.com,+1557096375,2026-03-22,14:00,B-Complex IV,Tablet,Linux,Edge,Madrid,ES,2026-03-22 14:00
Valeria Flores,valeria.flores74@gmail.com,+54884812266,2026-03-31,09:00,Consulta General,Mobile,Windows,Edge,Barcelona,ES,2026-03-31 14:00
Tomas Ramirez,tomas.ramirez15@yahoo.com,+1617042023,2026-02-27,15:00,Vitamin C IV,Mobile,Linux,Firefox,Miami,US,2026-02-27 11:00
Martina Diaz,martina.diaz88@gmail.com,+1956951458,2026-03-13,14:00,IV Rehydration,Mobile,iOS,Firefox,Guadalajara,MX,2026-03-13 14:00
Sebastian Flores,sebastian.flores54@yahoo.com,+57957085656,2026-07-22,10:00,B-Complex IV,Mobile,iOS,Firefox,Ciudad de Mexico,MX,2026-07-22 15:00
Tomas Martinez,tomas.martinez85@gmail.com,+57968545231,2026-03-02,15:00,General Consultation,Mobile,Windows,Edge,Guadalajara,MX,2026-03-02 08:00
Camila Gonzalez,camila.gonzalez79@hotmail.com,+57395512122,2026-06-22,16:00,B-Complex IV,Mobile,iOS,Chrome,Buenos Aires,AR,2026-06-22 14:00
Sofia Gonzalez,sofia.gonzalez63@hotmail.com,+52958319153,2026-06-16,14:00,Enfermedades Crónicas,Desktop,Windows,Safari,Valencia,ES,2026-06-16 09:00
Valeria Sanchez,valeria.sanchez85@hotmail.com,+54879535586,2026-02-22,15:00,B-Complex IV,Mobile,Linux,Firefox,Ciudad de Mexico,MX,2026-02-22 08:00
Lucia Martinez,lucia.martinez52@outlook.com,+54423590493,2026-02-10,11:00,Medicina Preventiva,Mobile,Linux,Chrome,Medellin,CO,2026-02-10 11:00
Hugo Sanchez,hugo.sanchez37@gmail.com,+54510173769,2026-01-31,15:00,IV Rehydration,Mobile,Linux,Safari,Madrid,ES,2026-01-31 08:00
Valeria Flores,valeria.flores43@yahoo.com,+57386783352,2026-03-10,16:00,Vitamin C IV,Desktop,Linux,Edge,Miami,US,2026-03-10 11:00
Tomas Lopez,tomas.lopez87@yahoo.com,+52436370919,2026-02-02,14:00,Vitamin C IV,Desktop,iOS,Safari,Bogota,CO,2026-02-02 08:00
Sebastian Perez,sebastian.perez93@hotmail.com,+57370471388,2026-04-10,09:00,Vitamin C IV,Mobile,Linux,Safari,Madrid,ES,2026-04-10 08:00
Martina Rodriguez,martina.rodriguez12@gmail.com,+1239486853,2026-02-22,11:00,Consulta General,Desktop,Linux,Chrome,Miami,US,2026-02-22 08:00
Martina Rodriguez,martina.rodriguez36@outlook.com,+54843267161,2026-01-27,15:00,Medicina Preventiva,Mobile,Windows,Firefox,Barcelona,ES,2026-01-27 09:00
Valeria Perez,valeria.perez34@gmail.com,+57291050332,2026-07-06,11:00,Vitamin C IV,Mobile,Android,Edge,Madrid,ES,2026-07-06 09:00
Emma Sanchez,emma.sanchez79@hotmail.com,+34574144746,2026-02-09,15:00,B-Complex IV,Mobile,iOS,Safari,Madrid,ES,2026-02-09 08:00
Sebastian Martinez,sebastian.martinez5@gmail.com,+54386083995,2026-02-28,09:00,Consulta General,Desktop,macOS,Safari,Madrid,ES,2026-02-28 14:00
Emma Rodriguez,emma.rodriguez1@hotmail.com,+54840088692,2026-03-18,16:00,Medicina Preventiva,Desktop,iOS,Firefox,Medellin,CO,2026-03-18 10:00
Mateo Perez,mateo.perez11@yahoo.com,+54916530277,2026-01-30,16:00,B-Complex IV,Desktop,Android,Chrome,Miami,US,2026-01-30 14:00
Camila Moreno,camila.moreno14@outlook.com,+57622379207,2026-07-14,08:00,Atención Pediátrica,Tablet,macOS,Chrome,Bogota,CO,2026-07-14 09:00
Tomas Lopez,tomas.lopez50@outlook.com,+34951197200,2026-07-15,14:00,General Consultation,Mobile,macOS,Edge,Bogota,CO,2026-07-15 08:00
Joaquin Garcia,joaquin.garcia16@outlook.com,+52966621002,2026-07-15,15:00,Consulta General,Mobile,macOS,Chrome,Valencia,ES,2026-07-15 15:00
Joaquin Martinez,joaquin.martinez84@outlook.com,+34605968226,2026-02-26,14:00,Vitamin C IV,Mobile,Android,Safari,Madrid,ES,2026-02-26 09:00
Emma Rodriguez,emma.rodriguez79@outlook.com,+52996952545,2026-02-13,14:00,Vitamin C IV,Mobile,iOS,Safari,Barcelona,ES,2026-02-13 11:00
Valeria Perez,valeria.perez42@outlook.com,+34834534311,2026-02-22,14:00,Facial Harmonization,Mobile,Windows,Chrome,Medellin,CO,2026-02-22 16:00
Mateo Gonzalez,mateo.gonzalez97@hotmail.com,+54280443225,2026-07-13,15:00,IV Rehydration,Mobile,Android,Edge,Valencia,ES,2026-07-13 09:00
Hugo Diaz,hugo.diaz21@outlook.com,+34622877347,2026-02-26,08:00,Vitamin C IV,Mobile,Android,Safari,Madrid,ES,2026-02-26 15:00
Emma Ramirez,emma.ramirez27@hotmail.com,+52787007622,2026-02-06,10:00,Facial Harmonization,Mobile,macOS,Chrome,Medellin,CO,2026-02-06 09:00
Joaquin Ramirez,joaquin.ramirez81@gmail.com,+57473504921,2026-02-18,11:00,Vitamin C IV,Desktop,Android,Chrome,Guadalajara,MX,2026-02-18 08:00
Hugo Torres,hugo.torres60@hotmail.com,+52396810789,2026-03-11,08:00,B-Complex IV,Tablet,Android,Edge,Guadalajara,MX,2026-03-11 11:00
Lucia Diaz,lucia.diaz37@yahoo.com,+52566725127,2026-06-09,10:00,IV Rehydration,Mobile,macOS,Safari,Buenos Aires,AR,2026-06-09 08:00
Sebastian Torres,sebastian.torres10@gmail.com,+52874600661,2026-07-11,11:00,General Consultation,Mobile,Windows,Edge,Medellin,CO,2026-07-11 09:00
Diego Rodriguez,diego.rodriguez95@hotmail.com,+54314700940,2026-02-01,11:00,Atención Pediátrica,Mobile,iOS,Edge,Madrid,ES,2026-02-01 14:00
Sebastian Martinez,sebastian.martinez48@outlook.com,+52591494788,2026-03-20,15:00,B-Complex IV,Mobile,Windows,Firefox,Buenos Aires,AR,2026-03-20 09:00
Lucia Gonzalez,lucia.gonzalez15@hotmail.com,+54592395371,2026-04-30,11:00,B-Complex IV,Mobile,Windows,Chrome,Bogota,CO,2026-04-30 10:00
Tomas Martinez,tomas.martinez12@hotmail.com,+54660244963,2026-02-20,11:00,Enfermedades Crónicas,Mobile,Android,Edge,Medellin,CO,2026-02-20 16:00
Andres Sanchez,andres.sanchez76@hotmail.com,+52716006526,2026-03-26,08:00,Symptomatic IV,Desktop,iOS,Safari,Barcelona,ES,2026-03-26 11:00
Sebastian Moreno,sebastian.moreno58@gmail.com,+54358247252,2026-03-17,08:00,Facial Harmonization,Mobile,iOS,Edge,Ciudad de Mexico,MX,2026-03-17 09:00
